1000 9929
1 16 66354
1 90 41605
1 112 4323
1 167 59051
1 198 41124
1 199 19051
1 234 17374
1 273 76772
1 335 32018
1 366 4840
1 379 46426
1 424 64183
1 459 19909
1 513 51753
1 572 10483
1 603 78628
1 680 68986
1 689 62043
1 712 10837
1 757 59580
1 772 77773
1 782 17505
1 925 91993
1 927 60934
1 952 35061
1 977 86904
1 1000 69525
2 17 44283
2 40 73509
2 96 15811
2 192 80727
2 200 91785
2 218 22000
2 223 76690
2 230 50571
2 256 38015
2 264 15327
2 273 52181
2 276 24874
2 315 26767
2 430 10718
2 488 26104
2 510 30928
2 556 87989
2 625 99738
2 631 16702
2 636 82815
2 677 20857
2 689 58031
2 701 96624
2 727 7439
2 733 70012
2 757 73432
2 831 60784
2 853 93683
2 870 57919
2 875 98664
2 941 95840
2 948 27189
2 990 39653
3 49 97524
3 85 77364
3 106 61401
3 180 46335
3 192 8900
3 212 67854
3 234 76330
3 249 63101
3 504 32043
3 522 38316
3 593 8650
3 722 33880
3 779 68838
3 837 20960
3 853 21727
3 911 85696
3 945 77658
3 973 68337
3 1000 14119
4 38 78423
4 62 95676
4 67 62676
4 96 51954
4 105 86075
4 122 43241
4 206 81815
4 241 11364
4 339 27502
4 397 24168
4 439 68741
4 451 68572
4 670 13210
4 673 72275
4 806 48112
4 814 29880
4 864 88139
4 920 56525
5 44 76993
5 147 51160
5 150 64298
5 163 43770
5 298 10545
5 304 67517
5 360 7642
5 487 81486
5 517 12458
5 522 70715
5 542 64779
5 731 18308
5 743 12174
5 744 86985
5 746 25454
5 782 70236
5 826 1162
5 829 91782
5 855 16809
5 905 49375
5 987 64152
6 12 14105
6 39 18584
6 187 34579
6 194 39052
6 232 143
6 331 78551
6 480 48753
6 491 74175
6 498 94913
6 577 7682
6 609 97765
6 691 66428
6 816 59609
6 832 90490
6 846 63242
6 868 85933
6 882 74281
6 933 52415
6 979 16962
7 42 18988
7 143 65093
7 145 22099
7 233 2092
7 265 54321
7 346 37755
7 453 10280
7 540 62722
7 564 51958
7 567 15615
7 571 59454
7 795 28232
7 806 74678
7 819 45587
7 839 55432
7 858 97247
7 905 50243
8 251 42095
8 285 95286
8 313 13699
8 346 35993
8 397 74671
8 484 70336
8 500 7707
8 562 17167
8 576 60959
8 673 80799
8 724 30775
8 737 95208
8 770 95514
8 779 25916
8 799 48009
8 806 37616
8 866 88958
8 870 59306
8 979 82537
8 996 68816
9 84 71793
9 279 35581
9 357 33002
9 362 3446
9 377 44925
9 447 73709
9 544 42117
9 641 39148
9 650 69683
9 733 74745
9 775 12752
9 782 7320
9 833 74036
9 837 14404
9 968 43472
9 985 38934
9 991 82113
9 997 16267
10 42 53696
10 152 94583
10 156 58042
10 162 7778
10 192 86578
10 211 57113
10 216 79752
10 296 56520
10 410 69635
10 475 16014
10 497 54770
10 528 76026
10 530 54794
10 610 18121
10 640 84904
10 676 7137
10 826 77135
10 888 48886
10 954 38053
10 955 85193
11 16 15528
11 115 7961
11 147 51164
11 159 57620
11 324 17382
11 346 48110
11 398 93472
11 405 17542
11 427 33495
11 433 2160
11 664 99611
11 806 27553
11 898 28073
11 958 93667
12 118 52085
12 163 283
12 170 97529
12 215 33841
12 337 77322
12 376 79245
12 399 51653
12 418 50342
12 444 1596
12 469 13995
12 617 41487
12 640 28071
12 645 7638
12 680 95883
12 817 70901
12 891 9997
12 957 63559
13 200 32847
13 222 28603
13 259 27020
13 263 37461
13 269 31474
13 342 64392
13 381 38784
13 409 81886
13 417 49888
13 495 79271
13 557 97618
13 700 74966
13 814 95847
13 829 62467
13 924 17867
13 936 67591
14 36 20329
14 148 17447
14 196 74930
14 253 23468
14 270 1217
14 335 58270
14 390 84667
14 395 55246
14 426 91502
14 483 1355
14 496 59728
14 519 11668
14 577 67345
14 846 32633
14 906 24816
14 916 75349
14 961 91334
15 63 43346
15 65 71989
15 191 21359
15 264 92438
15 306 50497
15 338 10139
15 376 76103
15 382 35567
15 390 65947
15 392 85488
15 423 25838
15 428 8672
15 600 50451
15 634 92361
15 729 2103
15 745 55195
15 755 29618
15 921 60916
16 65 22785
16 104 38525
16 164 72648
16 244 51241
16 303 59635
16 306 30151
16 323 43089
16 363 55302
16 386 98074
16 547 9554
16 629 6169
16 725 33260
16 732 49149
16 747 97805
16 765 5593
16 801 61170
16 830 9612
